0,0	10,0	20,0	30,0
0,1	10,1	20,1	30,1
0,2	10,2	20,2	30,2
0,3	10,3	20,3	30,3
0,4	10,4	20,4	30,4
0,5	10,5	20,5	30,5
0,6	10,6	20,6	30,6
0,7	10,7	20,7	30,7
0,8	10,8	20,8	30,8
0,9	10,9	20,9	30,9
1,0	11,0	21,0	31,0
1,1	11,1	21,1	31,1
1,2	11,2	21,2	31,2
1,3	11,3	21,3	31,3
1,4	11,4	21,4	31,4
1,5	11,5	21,5	31,5
1,6	11,6	21,6	31,6
1,7	11,7	21,7	31,7
1,8	11,8	21,8	31,8
1,9	11,9	21,9	31,9
2,0	12,0	22,0	32,0
2,1	12,1	22,1	
2,2	12,2	22,2
2,3	12,3	22,3
2,4	12,4	22,4
2,5	12,5	22,5
2,6	12,6	22,6
2,7	12,7	22,7
2,8	12,8	22,8
2,9	12,9	22,9
3,0	13,0	23,0
3,1	13,1	23,1
3,2	13,2	23,2
3,3	13,3	23,3
3,4	13,4	23,4
3,5	13,5	23,5
3,6	13,6	23,6
3,7	13,7	23,7
3,8	13,8	23,8
3,9	13,9	23,9
4,0	14,0	24,0
4,1	14,1	24,1
4,2	14,2	24,2
4,3	14,3	24,3
4,4	14,4	24,4
4,5	14,5	24,5
4,6	14,6	24,6
4,7	14,7	24,7
4,8	14,8	24,8
4,9	14,9	24,9
5,0	15,0	25,0
5,1	15,1	25,1
5,2	15,2	25,2
5,3	15,3	25,3
5,4	15,4	25,4
5,5	15,5	25,5
5,6	15,6	25,6
5,7	15,7	25,7
5,8	15,8	25,8
5,9	15,9	25,9
6,0	16,0	26,0
6,1	16,1	26,1
6,2	16,2	26,2
6,3	16,3	26,3
6,4	16,4	26,4
6,5	16,5	26,5
6,6	16,6	26,6
6,7	16,7	26,7
6,8	16,8	26,8
6,9	16,9	26,9
7,0	17,0	27,0
7,1	17,1	27,1
7,2	17,2	27,2
7,3	17,3	27,3
7,4	17,4	27,4
7,5	17,5	27,5
7,6	17,6	27,6
7,7	17,7	27,7
7,8	17,8	27,8
7,9	17,9	27,9
8,0	18,0	28,0
8,1	18,1	28,1
8,2	18,2	28,2
8,3	18,3	28,3
8,4	18,4	28,4
8,5	18,5	28,5
8,6	18,6	28,6
8,7	18,7	28,7
8,8	18,8	28,8
8,9	18,9	28,9
9,0	19,0	29,0
9,1	19,1	29,1
9,2	19,2	29,2
9,3	19,3	29,3
9,4	19,4	29,4
9,5	19,5	29,5
9,6	19,6	29,6
9,7	19,7	29,7
9,8	19,8	29,8
9,9	19,9	29,9
